Sector,Ticker,PER
Energy,SECTOR_AVG,12.43441175263158
Automotive & EV,SECTOR_AVG,13.341716553846153
Materials,SECTOR_AVG,14.825344435
Pharmaceuticals & Biotechnology,SECTOR_AVG,14.88319111111111
Utilities,SECTOR_AVG,15.229013899999998
Financials,SECTOR_AVG,17.22194495
Communication Services,SECTOR_AVG,17.60651484736842
Consumer Staples,SECTOR_AVG,17.648499874999995
Semiconductors,SECTOR_AVG,18.622453154999995
Healthcare,SECTOR_AVG,19.72617392105263
Consumer Discretionary,SECTOR_AVG,20.179407789473682
Retail & E-commerce,SECTOR_AVG,21.18396744736842
SPY,SECTOR_AVG,22.451712
Industrials,SECTOR_AVG,29.997693625
IT,SECTOR_AVG,33.98430088947369
Real Estate,SECTOR_AVG,37.31661565
